GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,players_list
Lineups,-201567-1629312-1629639-1631107-1631170-,K. Love - H. Highsmith - T. Herro - N. Jovic - J. Jaquez Jr.,2,2,0,1.0,3.0,3.5,6.0,0.583,2.0,3.0,0.667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,-1.0,"'K. Love', 'H. Highsmith', 'T. Herro', 'N. Jovic', 'J. Jaquez Jr.'"
Lineups,-200768-1626196-1629312-1631107-1631115-,K. Lowry - J. Richardson - H. Highsmith - N. Jovic - O. Robinson,1,0,1,0.0,3.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,"'K. Lowry', 'J. Richardson', 'H. Highsmith', 'N. Jovic', 'O. Robinson'"
Lineups,-1626196-1628418-1629312-1629639-1631170-,J. Richardson - T. Bryant - H. Highsmith - T. Herro - J. Jaquez Jr.,1,1,0,1.0,2.9,3.0,6.0,0.5,2.0,5.0,0.4,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,3.0,"'J. Richardson', 'T. Bryant', 'H. Highsmith', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-200768-1628389-1628997-1629130-1629639-,K. Lowry - B. Adebayo - C. Martin - D. Robinson - T. Herro,2,1,1,0.5,2.9,2.0,5.5,0.364,0.5,1.5,0.333,0.0,0.0,0.0,0.5,0.5,1.0,1.5,1.0,0.5,0.0,0.5,2.0,1.0,4.5,-5.0,"'K. Lowry', 'B. Adebayo', 'C. Martin', 'D. Robinson', 'T. Herro'"
Lineups,-200768-202710-1626196-1628997-1631115-,K. Lowry - J. Butler - J. Richardson - C. Martin - O. Robinson,2,1,1,0.5,2.9,3.5,4.5,0.778,0.5,0.5,1.0,2.0,2.5,0.8,0.5,1.5,2.0,2.5,2.0,1.5,0.5,0.0,1.0,2.0,9.5,1.0,"'K. Lowry', 'J. Butler', 'J. Richardson', 'C. Martin', 'O. Robinson'"
Lineups,-202710-1628418-1630181-1631170-1631288-,J. Butler - T. Bryant - R. Hampton - J. Jaquez Jr. - J. Cain,1,0,1,0.0,2.8,2.0,3.0,0.667,2.0,2.0,1.0,4.0,6.0,0.667,0.0,4.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,10.0,9.0,"'J. Butler', 'T. Bryant', 'R. Hampton', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-201567-1626196-1629130-1629639-1631288-,K. Love - J. Richardson - D. Robinson - T. Herro - J. Cain,1,0,1,0.0,2.8,1.0,5.0,0.2,0.0,2.0,0.0,4.0,4.0,1.0,4.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,5.0,2.0,6.0,-3.0,"'K. Love', 'J. Richardson', 'D. Robinson', 'T. Herro', 'J. Cain'"
Lineups,-200768-202710-1629130-1629312-1631115-,K. Lowry - J. Butler - D. Robinson - H. Highsmith - O. Robinson,1,0,1,0.0,2.8,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,-1.0,"'K. Lowry', 'J. Butler', 'D. Robinson', 'H. Highsmith', 'O. Robinson'"
Lineups,-200768-202710-1626196-1628389-1631170-,K. Lowry - J. Butler - J. Richardson - B. Adebayo - J. Jaquez Jr.,4,1,3,0.25,2.8,0.8,4.8,0.158,0.3,2.0,0.125,2.0,2.0,1.0,0.5,1.8,2.3,0.5,0.5,0.3,0.3,0.5,1.5,1.3,3.8,-4.0,"'K. Lowry', 'J. Butler', 'J. Richardson', 'B. Adebayo', 'J. Jaquez Jr.'"
Lineups,-200768-201567-1628997-1631170-1631288-,K. Lowry - K. Love - C. Martin - J. Jaquez Jr. - J. Cain,4,0,4,0.0,2.8,3.0,5.5,0.545,1.0,1.8,0.571,0.3,0.5,0.5,1.3,1.3,2.5,2.0,0.3,0.0,0.0,0.3,1.0,1.5,7.3,2.8,"'K. Lowry', 'K. Love', 'C. Martin', 'J. Jaquez Jr.', 'J. Cain'"
