SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
2021-22,1610612748,MIA,Miami Heat,0022100797,2022-02-05,MIA @ CHA,W,48.0,38,91,0.418,11,32,0.344,17,18,0.944,11,38,49,27,12.0,14,6,5,17,19,104,18.0
2021-22,1610612748,MIA,Miami Heat,0022100521,2022-02-03,MIA @ SAS,W,48.0,42,83,0.506,12,30,0.4,16,18,0.889,7,35,42,27,14.0,13,3,5,27,19,112,17.0
2021-22,1610612748,MIA,Miami Heat,0022100784,2022-02-01,MIA @ TOR,L,48.0,38,78,0.487,8,30,0.267,22,25,0.88,10,28,38,26,17.0,8,1,3,25,24,106,-4.0
2021-22,1610612748,MIA,Miami Heat,0022100762,2022-01-31,MIA @ BOS,L,48.0,34,87,0.391,17,44,0.386,7,10,0.7,10,28,38,25,19.0,6,2,6,22,15,92,-30.0
2021-22,1610612748,MIA,Miami Heat,0022100748,2022-01-29,MIA vs. TOR,L,63.0,45,110,0.409,16,50,0.32,14,20,0.7,19,42,61,26,24.0,12,6,9,26,22,120,-4.0
2021-22,1610612748,MIA,Miami Heat,0022100738,2022-01-28,MIA vs. LAC,W,48.0,40,85,0.471,15,34,0.441,26,27,0.963,12,39,51,28,18.0,6,3,3,23,21,121,7.0
2021-22,1610612748,MIA,Miami Heat,0022100727,2022-01-26,MIA vs. NYK,W,48.0,37,74,0.5,16,37,0.432,20,22,0.909,7,31,38,30,20.0,8,3,4,23,23,110,14.0
2021-22,1610612748,MIA,Miami Heat,0022100700,2022-01-23,MIA vs. LAL,W,48.0,40,81,0.494,15,33,0.455,18,20,0.9,6,33,39,31,16.0,9,3,1,31,20,113,6.0
2021-22,1610612748,MIA,Miami Heat,0022100687,2022-01-21,MIA @ ATL,L,48.0,41,85,0.482,15,40,0.375,11,12,0.917,11,22,33,30,15.0,8,1,1,22,17,108,-2.0
2021-22,1610612748,MIA,Miami Heat,0022100672,2022-01-19,MIA vs. POR,W,48.0,37,80,0.463,12,35,0.343,18,25,0.72,9,34,43,24,16.0,12,6,6,15,22,104,12.0
2021-22,1610612748,MIA,Miami Heat,0022100662,2022-01-17,MIA vs. TOR,W,48.0,38,83,0.458,9,24,0.375,19,22,0.864,13,36,49,20,12.0,11,8,5,18,21,104,5.0
2021-22,1610612748,MIA,Miami Heat,0022100645,2022-01-15,MIA vs. PHI,L,48.0,33,86,0.384,9,35,0.257,23,30,0.767,12,31,43,24,10.0,10,4,5,18,22,98,-11.0
2021-22,1610612748,MIA,Miami Heat,0022100636,2022-01-14,MIA vs. ATL,W,48.0,41,77,0.532,14,30,0.467,28,30,0.933,9,28,37,30,16.0,6,5,6,27,27,124,6.0
2021-22,1610612748,MIA,Miami Heat,0022100621,2022-01-12,MIA @ ATL,W,48.0,43,90,0.478,16,45,0.356,13,14,0.929,10,44,54,28,15.0,7,4,3,20,15,115,24.0
2021-22,1610612748,MIA,Miami Heat,0022100596,2022-01-08,MIA @ PHX,W,48.0,44,88,0.5,22,44,0.5,13,15,0.867,11,38,49,33,16.0,9,1,1,18,14,123,23.0
2021-22,1610612748,MIA,Miami Heat,0022100576,2022-01-05,MIA @ POR,W,48.0,37,82,0.451,19,41,0.463,22,29,0.759,14,36,50,29,11.0,3,3,4,21,23,115,6.0
2021-22,1610612748,MIA,Miami Heat,0022100559,2022-01-03,MIA @ GSW,L,48.0,37,90,0.411,17,42,0.405,17,19,0.895,11,38,49,24,19.0,5,2,6,13,17,108,-7.0
2021-22,1610612748,MIA,Miami Heat,0022100548,2022-01-02,MIA @ SAC,L,48.0,46,105,0.438,9,33,0.273,12,12,1.0,18,31,49,26,9.0,4,3,2,18,18,113,-2.0
2021-22,1610612748,MIA,Miami Heat,0022100532,2021-12-31,MIA @ HOU,W,48.0,40,86,0.465,14,33,0.424,26,31,0.839,11,32,43,21,14.0,7,6,4,16,27,120,10.0
2021-22,1610612748,MIA,Miami Heat,0022100509,2021-12-28,MIA vs. WAS,W,48.0,41,92,0.446,16,34,0.471,21,23,0.913,14,28,42,26,8.0,14,5,3,13,20,119,7.0
2021-22,1610612748,MIA,Miami Heat,0022100493,2021-12-26,MIA vs. ORL,W,48.0,36,89,0.404,10,34,0.294,11,18,0.611,20,31,51,28,14.0,7,1,4,19,19,93,10.0
2021-22,1610612748,MIA,Miami Heat,0022100479,2021-12-23,MIA vs. DET,W,48.0,43,88,0.489,12,32,0.375,17,19,0.895,6,37,43,23,13.0,4,0,5,25,25,115,3.0
2021-22,1610612748,MIA,Miami Heat,0022100465,2021-12-21,MIA vs. IND,W,48.0,47,95,0.495,22,49,0.449,9,11,0.818,15,38,53,30,11.0,5,5,3,21,13,125,29.0
2021-22,1610612748,MIA,Miami Heat,0022100449,2021-12-19,MIA @ DET,L,48.0,28,74,0.378,13,43,0.302,21,33,0.636,8,31,39,23,13.0,4,3,2,27,28,90,-10.0
2021-22,1610612748,MIA,Miami Heat,0022100433,2021-12-17,MIA @ ORL,W,48.0,41,82,0.5,19,35,0.543,14,19,0.737,14,32,46,25,17.0,5,5,5,14,19,115,10.0
2021-22,1610612748,MIA,Miami Heat,0022100419,2021-12-15,MIA @ PHI,W,48.0,35,78,0.449,18,44,0.409,13,17,0.765,9,35,44,25,18.0,5,3,5,18,19,101,5.0
2021-22,1610612748,MIA,Miami Heat,0022100404,2021-12-13,MIA @ CLE,L,48.0,38,85,0.447,13,40,0.325,5,9,0.556,11,28,39,26,16.0,4,4,1,15,16,94,-11.0
2021-22,1610612748,MIA,Miami Heat,0022100394,2021-12-11,MIA vs. CHI,W,48.0,46,93,0.495,19,43,0.442,7,9,0.778,12,38,50,37,10.0,8,6,3,21,15,118,26.0
2021-22,1610612748,MIA,Miami Heat,0022100370,2021-12-08,MIA vs. MIL,W,48.0,40,77,0.519,22,47,0.468,11,12,0.917,6,36,42,32,22.0,6,6,4,23,20,113,9.0
2021-22,1610612748,MIA,Miami Heat,0022100356,2021-12-06,MIA vs. MEM,L,48.0,35,76,0.461,6,22,0.273,14,17,0.824,7,29,36,26,23.0,11,6,6,19,18,90,-15.0
2021-22,1610612748,MIA,Miami Heat,0022100344,2021-12-04,MIA @ MIL,L,48.0,34,84,0.405,17,43,0.395,17,24,0.708,9,30,39,29,15.0,6,5,6,17,22,102,-22.0
2021-22,1610612748,MIA,Miami Heat,0022100333,2021-12-03,MIA @ IND,W,48.0,43,81,0.531,16,34,0.471,11,13,0.846,9,29,38,24,13.0,5,6,3,22,19,113,9.0
2021-22,1610612748,MIA,Miami Heat,0022100323,2021-12-01,MIA vs. CLE,L,48.0,32,85,0.376,12,37,0.324,9,13,0.692,9,19,28,21,13.0,8,4,14,17,15,85,-26.0
2021-22,1610612748,MIA,Miami Heat,0022100306,2021-11-29,MIA vs. DEN,L,48.0,43,91,0.473,15,44,0.341,10,15,0.667,12,27,39,32,9.0,2,1,1,18,18,111,-9.0
2021-22,1610612748,MIA,Miami Heat,0022100296,2021-11-27,MIA @ CHI,W,48.0,37,86,0.43,14,40,0.35,19,22,0.864,9,27,36,23,10.0,13,1,4,19,20,107,3.0
2021-22,1610612748,MIA,Miami Heat,0022100274,2021-11-24,MIA @ MIN,L,48.0,33,74,0.446,15,42,0.357,20,29,0.69,4,36,40,25,21.0,6,2,7,25,26,101,-12.0
2021-22,1610612748,MIA,Miami Heat,0022100263,2021-11-23,MIA @ DET,W,48.0,35,76,0.461,9,29,0.31,21,29,0.724,12,39,51,22,17.0,9,3,1,19,23,100,8.0
2021-22,1610612748,MIA,Miami Heat,0022100241,2021-11-20,MIA @ WAS,L,48.0,38,81,0.469,7,27,0.259,17,20,0.85,10,27,37,21,14.0,7,3,2,26,19,100,-3.0
2021-22,1610612748,MIA,Miami Heat,0022100225,2021-11-18,MIA vs. WAS,W,48.0,41,82,0.5,10,26,0.385,20,24,0.833,7,34,41,27,6.0,10,1,3,13,19,112,15.0
2021-22,1610612748,MIA,Miami Heat,0022100217,2021-11-17,MIA vs. NOP,W,48.0,42,87,0.483,15,40,0.375,14,17,0.824,10,29,39,29,11.0,6,2,3,25,21,113,15.0
2021-22,1610612748,MIA,Miami Heat,0022100207,2021-11-15,MIA @ OKC,W,48.0,37,82,0.451,18,40,0.45,11,13,0.846,8,37,45,22,19.0,11,5,10,13,15,103,13.0
2021-22,1610612748,MIA,Miami Heat,0022100185,2021-11-13,MIA @ UTA,W,48.0,42,85,0.494,13,33,0.394,14,16,0.875,13,35,48,23,21.0,6,3,2,25,19,111,6.0
2021-22,1610612748,MIA,Miami Heat,0022100173,2021-11-11,MIA @ LAC,L,48.0,43,97,0.443,9,41,0.22,14,17,0.824,18,32,50,18,15.0,9,4,9,21,14,109,-3.0
2021-22,1610612748,MIA,Miami Heat,0022100170,2021-11-10,MIA @ LAL,L,53.0,40,96,0.417,10,37,0.27,27,35,0.771,11,36,47,26,14.0,14,2,6,25,27,117,-3.0
2021-22,1610612748,MIA,Miami Heat,0022100151,2021-11-08,MIA @ DEN,L,48.0,31,78,0.397,13,36,0.361,21,25,0.84,6,31,37,22,13.0,3,3,5,20,23,96,-17.0
2021-22,1610612748,MIA,Miami Heat,0022100134,2021-11-06,MIA vs. UTA,W,48.0,47,78,0.603,11,21,0.524,13,17,0.765,7,29,36,30,14.0,3,1,3,18,19,118,3.0
2021-22,1610612748,MIA,Miami Heat,0022100121,2021-11-04,MIA vs. BOS,L,48.0,28,81,0.346,9,41,0.22,13,19,0.684,13,32,45,18,18.0,8,0,4,19,16,78,-17.0
2021-22,1610612748,MIA,Miami Heat,0022100104,2021-11-02,MIA @ DAL,W,48.0,43,83,0.518,13,25,0.52,26,30,0.867,9,36,45,25,7.0,6,5,3,25,21,125,15.0
2021-22,1610612748,MIA,Miami Heat,0022100084,2021-10-30,MIA @ MEM,W,48.0,46,88,0.523,21,37,0.568,16,19,0.842,11,39,50,31,18.0,12,2,7,17,17,129,26.0
2021-22,1610612748,MIA,Miami Heat,0022100073,2021-10-29,MIA vs. CHA,W,48.0,43,91,0.473,9,35,0.257,19,19,1.0,16,44,60,23,18.0,6,3,6,20,17,114,15.0
2021-22,1610612748,MIA,Miami Heat,0022100057,2021-10-27,MIA @ BKN,W,48.0,38,96,0.396,8,29,0.276,22,26,0.846,17,45,62,21,15.0,6,2,7,19,24,106,13.0
2021-22,1610612748,MIA,Miami Heat,0022100045,2021-10-25,MIA vs. ORL,W,48.0,41,87,0.471,6,27,0.222,19,19,1.0,9,33,42,28,11.0,10,2,6,19,22,107,17.0
2021-22,1610612748,MIA,Miami Heat,0022100028,2021-10-23,MIA @ IND,L,53.0,35,91,0.385,9,33,0.273,12,14,0.857,10,45,55,18,22.0,4,2,5,25,18,91,-11.0
2021-22,1610612748,MIA,Miami Heat,0022100015,2021-10-21,MIA vs. MIL,W,48.0,51,96,0.531,15,35,0.429,20,31,0.645,11,47,58,28,11.0,8,2,0,26,26,137,42.0
2022-23,1610612748,MIA,Miami Heat,0022201219,2023-04-09,MIA vs. ORL,W,48.0,45,83,0.542,18,44,0.409,15,20,0.75,7,37,44,30,18.0,10,3,1,20,17,123,13.0
2022-23,1610612748,MIA,Miami Heat,0022201204,2023-04-07,MIA @ WAS,L,48.0,43,98,0.439,15,47,0.319,7,12,0.583,14,33,47,26,16.0,7,4,3,29,18,108,-6.0
2022-23,1610612748,MIA,Miami Heat,0022201198,2023-04-06,MIA @ PHI,W,48.0,49,88,0.557,18,39,0.462,13,15,0.867,10,32,42,39,11.0,3,0,4,13,18,129,28.0
2022-23,1610612748,MIA,Miami Heat,0022201177,2023-04-04,MIA @ DET,W,48.0,41,80,0.513,13,36,0.361,23,26,0.885,5,28,33,26,8.0,12,2,2,18,22,118,13.0
2022-23,1610612748,MIA,Miami Heat,0022201161,2023-04-01,MIA vs. DAL,W,48.0,45,86,0.523,13,37,0.351,26,29,0.897,10,26,36,27,11.0,6,0,2,16,23,129,7.0
